P1,P2,P3,P4,x1,y1,z1,x2,y2,z2,r,label
1,1,0,0,0.11,-10.91,2.06,-7.35,-9.46,-10.85,142,4
1,0,1,0,0.44,-10.38,0.36,6.9,-4.21,2.1,143,4
1,0,1,0,-0.6,-13.11,1.04,0.08,-9,-2.05,142,4
1,0,1,0,3.17,-15.03,3.83,0.28,-9,-1.24,142,4
0,0,1,0,1.12,-8.17,16.35,0.2,-9.62,0.27,142,4
0,0,1,1,2.29,-8.02,5.68,1.31,-9.52,1.06,142,4
0,0,1,1,-0.81,-4.44,3.37,0.27,-9.35,-1.51,133,1
0,0,1,1,-2.69,-9,1.28,-1.65,-9.22,1.2,120,1
0,0,1,1,-1.38,-7.6,9.33,3.16,-10.14,-1.77,115,1
0,0,1,1,-1.09,-9.85,0.89,-0.54,-9.39,-2.07,102,2
0,0,1,1,2.95,-6.36,-3.68,0.57,-9.42,2.39,98,2
0,0,1,1,-0.44,-10.83,3.99,1.11,-9.33,1.2,98,2
0,0,1,1,-1.17,-12.69,0.43,0.27,-9.58,1.92,98,2
0,0,1,1,0.02,-12.74,6.87,-0.25,-10.01,0.84,96,2
0,0,1,1,4.73,-13.09,4.92,-0.09,-9.47,0.39,99,2
0,1,0,1,2.64,-13.34,2.25,-1.72,-9.92,0.41,98,2
0,1,0,1,-0.62,-9.62,1.06,1.69,-18.92,0.08,125,2
0,1,0,0,-0.04,-9.65,-0.78,-2.29,-11.98,2.08,207,2
1,1,0,0,0.23,-9.88,1.77,-0.03,-5.38,-1.54,302,2
1,1,0,0,1.57,-9.67,9.54,0.97,-3.98,-5.27,359,2
1,1,0,0,-1.57,-9.67,-3.75,-1.6,-7.49,-1.63,376,3
1,1,0,0,-0.98,-10.02,-10.19,-3.91,-5.19,-0.02,377,3
1,1,0,0,-4.95,-9.84,-6.32,-3.53,-9.64,-1.15,376,3
1,1,0,0,-1.96,-9.9,-0.32,0.39,-7.26,2.28,376,4
1,1,0,0,-0.87,-9.96,0.77,-2.34,-8.98,-0.89,319,4
1,1,0,0,-2.84,-11.44,1.83,2.59,-10.57,3.45,248,4
1,1,0,0,-0.43,-10.29,1.26,4.04,-8.01,4.61,170,4
1,1,0,0,-0.69,-10.49,1.36,-4.17,-13.06,-5.96,142,4
1,0,1,0,-1.01,-9.73,3.96,-0.94,-13.53,-8.73,142,4
1,0,1,0,1.41,-12.04,3.31,0.99,-9.56,0.56,142,4
1,0,1,0,1.9,-16.39,4.29,-0.78,-9.36,-1.56,142,4
0,0,1,1,-0.17,-6.17,14.42,0.81,-9.18,3.11,142,4
0,0,1,1,-3.77,-6.96,-14.17,1.05,-9.31,-0.41,142,4
0,0,1,1,2.14,-5.77,4.61,1.34,-9,-1.69,135,1
0,0,1,1,0.44,-7.39,2.69,-1.6,-8.38,1.57,121,1
0,0,1,1,-1.16,-10.75,10.78,2.02,-10.16,1.73,121,1
0,0,1,1,-0.3,-9.76,2.75,0.33,-9.07,-3.55,108,1
0,0,1,1,-2.95,-9.55,4.67,0.25,-8.98,0.76,100,2
0,0,1,1,-0.09,-10.8,0.61,-1.13,-9.46,0.42,100,2
0,0,1,1,-2.11,-13.48,-3.35,-0.07,-9.52,0.54,100,2
0,0,0,1,6.09,-10.58,19.6,-1.22,-9.1,0.49,100,2
0,1,0,1,0.39,-18.76,4.4,-2.12,-10.04,2.02,100,2
0,1,0,1,3.07,-9.07,1.55,-1.32,-15.28,0.99,100,2
0,1,0,1,-0.36,-9.81,-0.95,1.3,-13.64,4.68,165,2
0,1,0,0,-1.45,-9.77,0.16,-6.29,-7.92,-3.4,256,2
1,1,0,0,-0.28,-9.42,-0.08,4.54,-4.6,-3.37,325,2
1,1,0,0,-3.31,-9.58,-9.79,1.85,-4.1,1.89,353,2
1,1,0,0,0.85,-9.02,4.54,-5.79,-7.49,-5.92,353,3
1,1,0,0,-2.51,-11.23,4.96,0.25,-9.06,4.86,353,3
1,1,0,0,-0.81,-9.49,-0.73,-3.66,-9.26,-2.16,353,3
1,1,0,0,-0.91,-9.8,0.35,-2.45,-9.4,-1.17,308,4
1,1,0,0,3.23,-13.02,17.29,-0.04,-11.7,1.86,240,4
1,1,0,0,0.02,-9.78,1.56,-5.1,-12.63,3.81,172,4
1,1,0,0,-0.39,-10.61,1.2,-7.66,-11.67,-0.28,146,4
1,0,1,0,-0.36,-11.7,6.65,-0.04,-13.47,-0.49,146,4
1,0,1,0,0.87,-11.37,0.11,-1.87,-9.46,-2.17,146,4
1,0,1,0,-11.61,-16.53,-14.57,-2.3,-9.52,-4.09,146,4
0,0,1,1,1.63,-5.4,-3.15,-0.71,-9.43,-1.51,148,4
0,0,1,1,-5.1,-4.97,-7.6,-0.27,-9.91,-0.51,146,4
0,0,1,1,0.84,-7.21,3.96,1.91,-9.35,0.64,131,1
0,0,1,1,-0.7,-5.13,9.15,1.64,-9.74,-2.95,122,1
0,0,1,1,-3.63,-10.18,1.15,-0.47,-8.37,9.77,120,1
0,0,1,1,-0.5,-8.99,-0.31,1.17,-9.15,-1.52,105,1
0,0,1,1,0.26,-8.39,2.13,-0.54,-9.48,1.53,96,2
0,0,1,1,4.83,-10.79,16.21,-0.7,-9.68,-0.09,97,2
0,0,1,1,-3.53,-8.26,0.22,-0.93,-9.82,-1.22,97,2
0,1,0,1,0.83,-5.11,2.72,-0.05,-9.26,0.63,97,2
0,1,0,1,-3.92,-10.66,-4.14,-0.6,-14.18,2.32,101,2
0,1,0,1,-1.62,-9.89,-2.32,-4.6,-16.91,-5.61,167,2
0,1,0,0,-0.9,-9.63,-0.87,-4.17,-8.56,-2.7,270,2
0,1,0,0,0.99,-13.1,-4.63,-7.15,-6.93,-4.29,345,2
0,1,0,0,0.29,-9,-2.7,0.88,-3.68,3.27,383,2
0,1,0,0,1.25,-9.51,2.42,-4.77,-6.2,-4.76,383,3
0,1,0,0,-0.97,-8.31,-3.25,-1.45,-10.32,0.33,383,3
1,1,0,0,-1.55,-10.15,-3.56,-2.12,-8.15,-0.32,383,3
1,1,0,0,-0.19,-9.57,1.25,-3.68,-8.98,0.57,366,4
1,1,0,0,-0.35,-9.67,0.7,-3.84,-8.42,-0.56,306,4
1,1,0,0,-1.24,-9.95,-3.49,-2.23,-10.5,-0.94,239,4
1,1,0,0,-0.84,-11.36,-0.45,-19.6,-16.43,-8.6,171,4
1,0,1,0,-0.08,-10.32,1.14,2.4,-12.09,0.3,166,4
1,0,1,0,-5.16,-17.15,-5.23,-3.59,-8.23,-5.37,165,4
1,0,1,0,4.3,-15.8,-1,2.65,-8.94,1.22,165,4
0,0,1,1,-6.53,-5.3,-11.58,-1.95,-9.68,0.97,165,4
0,0,1,1,0.08,-6.82,4.82,-0.94,-9.24,-1.4,162,4
0,0,1,1,-0.19,-7.11,7.71,0.74,-9.18,0.68,146,1
0,0,1,1,1.33,-3.41,-1.55,-0.12,-7.02,9.51,140,1
0,0,1,1,-5.21,-10.56,7.15,-1.15,-7.1,18.67,137,1
0,0,1,1,-0.78,-8.73,0.2,-0.25,-9.47,-0.86,125,1
0,0,1,1,1.76,-11.63,12.02,-0.28,-9.68,0.38,117,2
0,0,1,1,0.72,-10.69,0.31,-0.89,-9.04,0.1,117,2
0,0,0,1,2.58,-7.14,5.85,-2.18,-9.42,0.26,117,2
0,0,0,1,0.35,-12.67,3.41,-1.99,-8.98,0.11,116,2
0,1,0,1,0.46,-12.77,-19.6,-0.71,-10.46,0.98,117,2
0,1,0,1,-0.13,-8.84,-0.06,-0.48,-14.07,-0.09,117,2
1,1,0,1,-0.8,-9.89,-2.12,2.86,-13.68,-1.67,175,2
1,1,0,0,-1.07,-9.46,1.23,-1.33,-1.42,-5.31,274,2
1,1,0,0,-1.49,-9.82,-4.18,-1.57,-4.73,-3.84,336,2
1,1,0,0,0.23,-9.35,1.5,-0.4,-3.59,-2.29,369,3
1,1,0,0,2.48,-6.76,-5.16,-6.12,-5.22,1.9,369,3
1,1,0,0,-13.71,-9.46,2.81,-4.16,-8.46,2.24,370,3
1,1,0,0,-6.85,-9.91,-17.32,-1.64,-9.3,-0.67,354,3
1,1,0,0,-0.97,-9.84,7.48,0.07,-8.56,0.94,312,3
1,1,0,0,-0.07,-9.88,0.79,-1.71,-10.72,1.86,255,3
1,1,0,0,-0.49,-9.86,1.53,-0.28,-10.53,0.22,197,4
1,0,0,0,-0.37,-10.88,-0.58,0.22,-13.94,1.06,165,4
1,0,1,0,-1.65,-11.63,1.25,-1,-11.95,-6.72,165,4
1,0,1,0,2.01,-11.55,1.36,-0.87,-9.11,-0.34,165,4
1,0,1,1,-4.88,-15.94,1.25,1.52,-9.37,4.28,165,4
0,0,1,1,-1.46,-7.05,-6.65,-3.61,-9.32,-1.91,165,4
0,0,1,1,6.8,-4.24,10.23,0.51,-9.61,1.3,165,4
0,0,1,1,3.18,-6.43,8.06,0.74,-8.94,-0.41,151,1
0,0,1,1,-1.18,-8.1,6.21,0.88,-8.53,-0.24,137,1
0,0,1,1,-1.34,-9.01,4.49,0.37,-9.65,1.59,131,1
0,0,1,1,-2.63,-8.8,8.22,1.6,-9.1,1.93,113,1
0,0,1,1,-1.91,-10.29,-0.56,3.43,-8.33,4.02,96,2
0,0,1,1,-0.74,-19.6,5.29,-0.65,-9.51,0.6,95,2
0,0,1,1,-8.97,-11.61,-19.6,-0.72,-9.44,-0.55,95,2
0,1,0,1,-0.8,-9.42,-4.58,-1.21,-9.79,-0.48,95,2
0,1,0,1,-0.73,-9.42,-3.58,-0.28,-14.96,1.94,100,2
0,1,0,1,-1.55,-10.07,0.99,0,-16.01,-1.31,138,2
1,1,0,0,0.65,-9.6,0.8,-3.59,-12.35,-0.93,232,2
1,1,0,0,-0.59,-9.61,-1.06,1.25,-6.56,-0.17,319,2
1,1,0,0,-0.46,-9.75,-0.67,0.98,-3.8,-2.02,372,3
1,1,0,0,-1.32,-9.56,-2.66,-1.72,-7.22,-3.17,382,3
1,1,0,0,-8.11,-9.89,-7.37,-6.46,-7.76,-5.62,382,3
